SNR_dB,rho,PEP_near,PEP_far,T_near,T_far,T_sum,P_B,P_C,EE
5.0,0.2354271357,0.3441636240,0.3479338484,0.3279181880,0.1630165379,0.4909347259,3.1622776602,0.2000000000,0.1460125473
5.0,0.2399497487,0.3436245289,0.3473963824,0.3281877356,0.1631509044,0.4913386400,3.1622776602,0.2000000000,0.1461326784
5.0,0.2444723618,0.3431100826,0.3468830061,0.3284449587,0.1632792485,0.4917242071,3.1622776602,0.2000000000,0.1462473528
5.0,0.2489949749,0.3426196398,0.3463930929,0.3286901801,0.1634017268,0.4920919069,3.1622776602,0.2000000000,0.1463567131
5.0,0.2535175879,0.3421525863,0.3459260468,0.3289237068,0.1635184883,0.4924421951,3.1622776602,0.2000000000,0.1464608949
5.0,0.2580402010,0.3417083378,0.3454813006,0.3291458311,0.1636296748,0.4927755059,3.1622776602,0.2000000000,0.1465600274
5.0,0.2625628141,0.3412863379,0.3450583141,0.3293568311,0.1637354215,0.4930922525,3.1622776602,0.2000000000,0.1466542333
5.0,0.2670854271,0.3408860564,0.3446565726,0.3295569718,0.1638358569,0.4933928287,3.1622776602,0.2000000000,0.1467436299
5.0,0.2716080402,0.3405069880,0.3442755854,0.3297465060,0.1639311036,0.4936776096,3.1622776602,0.2000000000,0.1468283287
5.0,0.2761306533,0.3401486510,0.3439148847,0.3299256745,0.1640212788,0.4939469533,3.1622776602,0.2000000000,0.1469084363
5.0,0.2806532663,0.3398105855,0.3435740241,0.3300947073,0.1641064940,0.4942012012,3.1622776602,0.2000000000,0.1469840540
5.0,0.2851758794,0.3394923528,0.3432525774,0.3302538236,0.1641868557,0.4944406793,3.1622776602,0.2000000000,0.1470552790
5.0,0.2896984925,0.3391935339,0.3429501377,0.3304032330,0.1642624656,0.4946656986,3.1622776602,0.2000000000,0.1471222036
5.0,0.2942211055,0.3389137289,0.3426663165,0.3305431356,0.1643334209,0.4948765564,3.1622776602,0.2000000000,0.1471849164
5.0,0.2987437186,0.3386525554,0.3424007425,0.3306737223,0.1643998144,0.4950735367,3.1622776602,0.2000000000,0.1472435018
5.0,0.3032663317,0.3384096481,0.3421530607,0.3307951759,0.1644617348,0.4952569108,3.1622776602,0.2000000000,0.1472980404
5.0,0.3077889447,0.3381846579,0.3419229322,0.3309076710,0.1645192670,0.4954269380,3.1622776602,0.2000000000,0.1473486095
5.0,0.3123115578,0.3379772510,0.3417100324,0.3310113745,0.1645724919,0.4955838664,3.1622776602,0.2000000000,0.1473952827
